time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
35,8.75,2,4,0.9966750000000004,-2.25,14,,,
125,15.625,2,8,0.9881250000000003,4.625,42,,,
165,13.75,2,12,0.9843249999999997,2.75,56,,,
197,12.3125,2,16,0.9812849999999997,1.3125,69,,,
234,11.7,2,20,0.9777699999999999,0.7,83,,,
284,11.833333333333334,2,24,0.9730200000000004,0.8333333333333334,100,,,
327,11.678571428571429,2,28,0.9689350000000001,0.6785714285714286,115,,,
363,11.34375,2,32,0.9655149999999998,0.34375,129,,,
435,12.083333333333334,2,36,0.9586750000000004,1.0833333333333333,152,,,
486,12.15,2,40,0.9538300000000003,1.15,169,,,
553,12.568181818181818,2,44,0.9474649999999997,1.5681818181818181,191,,,
585,12.1875,2,48,0.9444249999999998,1.1875,204,,,
620,11.923076923076923,2,52,0.9411000000000002,0.9230769230769231,217,,,
668,11.928571428571429,2,56,0.9365399999999998,0.9285714285714286,234,,,
700,11.666666666666666,2,60,0.9335,0.6666666666666666,246,,,
762,11.90625,2,64,0.9276100000000004,0.90625,266,,,
814,11.970588235294118,2,68,0.9226699999999997,0.9705882352941176,284,,,
845,11.73611111111111,2,72,0.9197250000000003,0.7361111111111112,296,,,
877,11.539473684210526,2,76,0.9166850000000005,0.5394736842105263,309,,,
932,11.65,2,80,0.91146,0.65,327,,,
982,11.69047619047619,2,84,0.9067099999999996,0.6904761904761905,344,,,
1082,12.295454545454545,2,88,0.8972099999999995,1.2954545454545454,375,0.0001,20,1.0679523944854736
1142,12.41304347826087,2,92,0.8915100000000001,1.4130434782608696,395,0.0001,35,1.3137266635894775
1178,12.270833333333334,2,96,0.8880899999999999,1.2708333333333333,409,0.0001,44,0.6640403270721436
1213,12.13,2,100,0.8847650000000002,1.13,422,0.0001,53,0.9780410528182983
1246,12.11,2,104,0.8816299999999998,1.11,435,0.0001,61,0.9822421669960022
1281,11.56,2,108,0.8783050000000001,0.56,449,0.0001,70,0.9798133969306946
1334,11.69,2,112,0.8732699999999998,0.69,467,0.0001,83,0.9775114059448242
1369,11.72,2,116,0.8699450000000002,0.72,481,0.0001,92,0.0009200405911542475
1409,11.75,2,120,0.8661449999999996,0.75,495,0.0001,102,1.3049826622009277
1469,11.85,2,124,0.8604450000000001,0.85,515,0.0001,117,0.6532418131828308
1526,11.99,2,128,0.8550299999999995,0.99,535,0.0001,131,1.30222487449646
1562,11.99,2,132,0.8516100000000003,0.99,548,0.0001,140,0.6571158766746521
1614,11.79,2,136,0.8466699999999996,0.79,566,0.0001,153,0.3350323736667633
1646,11.6,2,140,0.8436299999999997,0.6,579,0.0001,161,0.9833651781082153
1684,11.31,2,144,0.8400200000000003,0.31,593,0.0001,170,0.9793838262557983
1715,11.3,2,148,0.837075,0.3,606,0.0001,178,1.6362154483795166
1771,11.51,2,152,0.831755,0.51,625,0.0001,192,0.32712873816490173
1808,11.4,2,156,0.8282400000000001,0.4,638,0.0001,201,1.2963682413101196
